# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20260101-20260131
# ----------------------------------------

,,,Segment,Is US Portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
https://www.sacrd.org/portal/housingservices/?zipcode=78247&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78247&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78247&lat=29.42364&lng=-98.48647&gp=hsp_needhe,?zipcode=78247&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=302&nhw=3,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_needhe,?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=303&nhw=0,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78264&lat=29.42364&lng=-98.48647&gp=hsp_needhe,?zipcode=78264&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=301&nhw=3,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?zipcode=78264&lat=29.42364&lng=-98.48647&gp=hsp_starti,?zipcode=78264&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,7,7
https://www.sacrd.org/portal/mhp/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=102,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=102,attribute,102,7,7
https://sacrd.org/portal/housingservices/?zipcode=78109&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78109&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_notesPage,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_notesPage,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78207&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78207&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78213&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78213&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,6,6
https://sacrd.org/portal/housingservices/?zipcode=78213&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78213&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78213&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwi,?zipcode=78213&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=302&nhw=3,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,6,6
https://sacrd.org/portal/housingservices/?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78229&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78229&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,6,6
https://sacrd.org/portal/housingservices/?zipcode=78232&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78232&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78233&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78233&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,6,6
https://sacrd.org/portal/housingservices/?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,6,6
https://sacrd.org/portal/housingservices/?zipcode=78253&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78253&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,6,6
