# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20251101-20251130
# ----------------------------------------

,,,Segment,Is portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
https://www.sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78215&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78215&a=302&nhw=3,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78218&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78218&a=302&nhw=3,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78223&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78223&a=302&nhw=3,guideme,-,6,6
https://www.sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78251&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78251&a=302&nhw=3,guideme,-,6,6
"https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=302,304","?gp=mainPage&a=302,304",attribute,304,6,6
"https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=303,304","?gp=mainPage&a=303,304",attribute,304,6,6
https://www.sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=299,?gp=mainPage&a=299,attribute,299,6,6
https://www.sacrd.org/portal/westcaretx/?gp=mainPage&a=225,?gp=mainPage&a=225,attribute,225,6,6
https://hillcountryresources.org/?gp=mainPage&a=588,?gp=mainPage&a=588,attribute,588,5,5
https://sacrd.org/housingservices/?gp=mainPage&a=303,?gp=mainPage&a=303,attribute,303,5,5
https://sacrd.org/idd/?gp=mainPage&zipcode=78213,?gp=mainPage&zipcode=78213,clear,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_helppayhousing&zipcode=78253&a=302&nhw=3&gr=78,?gp=hsp_helppayhousing&zipcode=78253&a=302&nhw=3&gr=78,attribute,78,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78148&a=303,?gp=hsp_masterselector&zipcode=78148&a=303,attribute,303,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78201&a=303,?gp=hsp_masterselector&zipcode=78201&a=303,attribute,303,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78201&a=303,?gp=hsp_masterselector&zipcode=78201&a=303,guideme,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=301,?gp=hsp_masterselector&zipcode=78205&a=301,guideme,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=302,?gp=hsp_masterselector&zipcode=78205&a=302,attribute,302,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=302,?gp=hsp_masterselector&zipcode=78205&a=302,guideme,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78210&a=302,?gp=hsp_masterselector&zipcode=78210&a=302,attribute,302,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78210&a=303,?gp=hsp_masterselector&zipcode=78210&a=303,attribute,303,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78211&a=303,?gp=hsp_masterselector&zipcode=78211&a=303,guideme,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78212&a=302,?gp=hsp_masterselector&zipcode=78212&a=302,attribute,302,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78212&a=302,?gp=hsp_masterselector&zipcode=78212&a=302,guideme,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78218&a=303,?gp=hsp_masterselector&zipcode=78218&a=303,attribute,303,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78229&a=302,?gp=hsp_masterselector&zipcode=78229&a=302,guideme,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78239&a=302,?gp=hsp_masterselector&zipcode=78239&a=302,attribute,302,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78239&a=302,?gp=hsp_masterselector&zipcode=78239&a=302,guideme,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78240&a=303,?gp=hsp_masterselector&zipcode=78240&a=303,attribute,303,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78244&a=302,?gp=hsp_masterselector&zipcode=78244&a=302,attribute,302,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78254&a=301,?gp=hsp_masterselector&zipcode=78254&a=301,attribute,301,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78254&a=301,?gp=hsp_masterselector&zipcode=78254&a=301,guideme,-,5,5
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78205&a=303&nhw=0,?gp=hsp_needhelpwith&zipcode=78205&a=303&nhw=0,guideme,-,5,5
